GEO.id	GEOID10	GEO.display-label	HD01_VD01	HD02_VD01
1500000US370810101001	370810101001	"Block Group 1, Census Tract 101, Guilford County, North Carolina"	1737	198
1500000US370810102001	370810102001	"Block Group 1, Census Tract 102, Guilford County, North Carolina"	2185	563
1500000US370810102002	370810102002	"Block Group 2, Census Tract 102, Guilford County, North Carolina"	1444	378
1500000US370810102003	370810102003	"Block Group 3, Census Tract 102, Guilford County, North Carolina"	1110	310
1500000US370810103001	370810103001	"Block Group 1, Census Tract 103, Guilford County, North Carolina"	1407	395
1500000US370810103002	370810103002	"Block Group 2, Census Tract 103, Guilford County, North Carolina"	1412	300
1500000US370810104011	370810104011	"Block Group 1, Census Tract 104.01, Guilford County, North Carolina"	882	114
1500000US370810104012	370810104012	"Block Group 2, Census Tract 104.01, Guilford County, North Carolina"	675	114
1500000US370810104031	370810104031	"Block Group 1, Census Tract 104.03, Guilford County, North Carolina"	1016	160
1500000US370810104032	370810104032	"Block Group 2, Census Tract 104.03, Guilford County, North Carolina"	684	118
1500000US370810104041	370810104041	"Block Group 1, Census Tract 104.04, Guilford County, North Carolina"	845	154
1500000US370810104042	370810104042	"Block Group 2, Census Tract 104.04, Guilford County, North Carolina"	590	132
1500000US370810104043	370810104043	"Block Group 3, Census Tract 104.04, Guilford County, North Carolina"	1079	168
1500000US370810105001	370810105001	"Block Group 1, Census Tract 105, Guilford County, North Carolina"	672	118
1500000US370810105002	370810105002	"Block Group 2, Census Tract 105, Guilford County, North Carolina"	961	188
1500000US370810105003	370810105003	"Block Group 3, Census Tract 105, Guilford County, North Carolina"	656	143
1500000US370810106011	370810106011	"Block Group 1, Census Tract 106.01, Guilford County, North Carolina"	1234	216
1500000US370810106012	370810106012	"Block Group 2, Census Tract 106.01, Guilford County, North Carolina"	1403	262
1500000US370810106021	370810106021	"Block Group 1, Census Tract 106.02, Guilford County, North Carolina"	1028	185
1500000US370810106022	370810106022	"Block Group 2, Census Tract 106.02, Guilford County, North Carolina"	1617	501
1500000US370810106023	370810106023	"Block Group 3, Census Tract 106.02, Guilford County, North Carolina"	704	300
1500000US370810106024	370810106024	"Block Group 4, Census Tract 106.02, Guilford County, North Carolina"	963	348
1500000US370810107011	370810107011	"Block Group 1, Census Tract 107.01, Guilford County, North Carolina"	951	144
1500000US370810107012	370810107012	"Block Group 2, Census Tract 107.01, Guilford County, North Carolina"	1062	191
1500000US370810107021	370810107021	"Block Group 1, Census Tract 107.02, Guilford County, North Carolina"	643	187
1500000US370810107022	370810107022	"Block Group 2, Census Tract 107.02, Guilford County, North Carolina"	1594	367
1500000US370810107023	370810107023	"Block Group 3, Census Tract 107.02, Guilford County, North Carolina"	3001	325
1500000US370810108001	370810108001	"Block Group 1, Census Tract 108, Guilford County, North Carolina"	1113	152
1500000US370810108002	370810108002	"Block Group 2, Census Tract 108, Guilford County, North Carolina"	1926	265
1500000US370810109001	370810109001	"Block Group 1, Census Tract 109, Guilford County, North Carolina"	777	284
1500000US370810109002	370810109002	"Block Group 2, Census Tract 109, Guilford County, North Carolina"	960	209
1500000US370810110001	370810110001	"Block Group 1, Census Tract 110, Guilford County, North Carolina"	911	204
1500000US370810110002	370810110002	"Block Group 2, Census Tract 110, Guilford County, North Carolina"	596	136
1500000US370810110003	370810110003	"Block Group 3, Census Tract 110, Guilford County, North Carolina"	3568	284
1500000US370810111011	370810111011	"Block Group 1, Census Tract 111.01, Guilford County, North Carolina"	2459	452
1500000US370810111012	370810111012	"Block Group 2, Census Tract 111.01, Guilford County, North Carolina"	1762	527
1500000US370810111021	370810111021	"Block Group 1, Census Tract 111.02, Guilford County, North Carolina"	1403	390
1500000US370810111022	370810111022	"Block Group 2, Census Tract 111.02, Guilford County, North Carolina"	1222	280
1500000US370810112001	370810112001	"Block Group 1, Census Tract 112, Guilford County, North Carolina"	1997	407
1500000US370810112002	370810112002	"Block Group 2, Census Tract 112, Guilford County, North Carolina"	763	427
1500000US370810112003	370810112003	"Block Group 3, Census Tract 112, Guilford County, North Carolina"	2190	801
1500000US370810112004	370810112004	"Block Group 4, Census Tract 112, Guilford County, North Carolina"	978	445
1500000US370810113001	370810113001	"Block Group 1, Census Tract 113, Guilford County, North Carolina"	854	285
1500000US370810113002	370810113002	"Block Group 2, Census Tract 113, Guilford County, North Carolina"	942	387
1500000US370810113003	370810113003	"Block Group 3, Census Tract 113, Guilford County, North Carolina"	465	196
1500000US370810113004	370810113004	"Block Group 4, Census Tract 113, Guilford County, North Carolina"	910	274
1500000US370810114001	370810114001	"Block Group 1, Census Tract 114, Guilford County, North Carolina"	953	363
1500000US370810114002	370810114002	"Block Group 2, Census Tract 114, Guilford County, North Carolina"	847	390
1500000US370810114003	370810114003	"Block Group 3, Census Tract 114, Guilford County, North Carolina"	1535	502
1500000US370810114004	370810114004	"Block Group 4, Census Tract 114, Guilford County, North Carolina"	521	299
1500000US370810114005	370810114005	"Block Group 5, Census Tract 114, Guilford County, North Carolina"	645	315
1500000US370810114006	370810114006	"Block Group 6, Census Tract 114, Guilford County, North Carolina"	839	289
1500000US370810115001	370810115001	"Block Group 1, Census Tract 115, Guilford County, North Carolina"	523	183
1500000US370810115002	370810115002	"Block Group 2, Census Tract 115, Guilford County, North Carolina"	1010	238
1500000US370810115003	370810115003	"Block Group 3, Census Tract 115, Guilford County, North Carolina"	843	283
1500000US370810116011	370810116011	"Block Group 1, Census Tract 116.01, Guilford County, North Carolina"	829	202
1500000US370810116012	370810116012	"Block Group 2, Census Tract 116.01, Guilford County, North Carolina"	1083	246
1500000US370810116013	370810116013	"Block Group 3, Census Tract 116.01, Guilford County, North Carolina"	491	146
1500000US370810116021	370810116021	"Block Group 1, Census Tract 116.02, Guilford County, North Carolina"	1453	687
1500000US370810116022	370810116022	"Block Group 2, Census Tract 116.02, Guilford County, North Carolina"	1229	300
1500000US370810116023	370810116023	"Block Group 3, Census Tract 116.02, Guilford County, North Carolina"	832	482
1500000US370810119041	370810119041	"Block Group 1, Census Tract 119.04, Guilford County, North Carolina"	2018	318
1500000US370810119042	370810119042	"Block Group 2, Census Tract 119.04, Guilford County, North Carolina"	2695	337
1500000US370810119051	370810119051	"Block Group 1, Census Tract 119.05, Guilford County, North Carolina"	1722	421
1500000US370810119052	370810119052	"Block Group 2, Census Tract 119.05, Guilford County, North Carolina"	945	270
1500000US370810119053	370810119053	"Block Group 3, Census Tract 119.05, Guilford County, North Carolina"	1709	419
1500000US370810125031	370810125031	"Block Group 1, Census Tract 125.03, Guilford County, North Carolina"	1498	381
1500000US370810125032	370810125032	"Block Group 2, Census Tract 125.03, Guilford County, North Carolina"	2922	324
1500000US370810125041	370810125041	"Block Group 1, Census Tract 125.04, Guilford County, North Carolina"	1523	186
1500000US370810125042	370810125042	"Block Group 2, Census Tract 125.04, Guilford County, North Carolina"	1880	377
1500000US370810125051	370810125051	"Block Group 1, Census Tract 125.05, Guilford County, North Carolina"	1597	229
1500000US370810125052	370810125052	"Block Group 2, Census Tract 125.05, Guilford County, North Carolina"	1073	149
1500000US370810125053	370810125053	"Block Group 3, Census Tract 125.05, Guilford County, North Carolina"	1973	232
1500000US370810125081	370810125081	"Block Group 1, Census Tract 125.08, Guilford County, North Carolina"	664	145
1500000US370810125082	370810125082	"Block Group 2, Census Tract 125.08, Guilford County, North Carolina"	1136	159
1500000US370810125083	370810125083	"Block Group 3, Census Tract 125.08, Guilford County, North Carolina"	562	123
1500000US370810125084	370810125084	"Block Group 4, Census Tract 125.08, Guilford County, North Carolina"	1122	215
1500000US370810125091	370810125091	"Block Group 1, Census Tract 125.09, Guilford County, North Carolina"	2440	142
1500000US370810125101	370810125101	"Block Group 1, Census Tract 125.10, Guilford County, North Carolina"	1504	166
1500000US370810125102	370810125102	"Block Group 2, Census Tract 125.10, Guilford County, North Carolina"	1601	179
1500000US370810125111	370810125111	"Block Group 1, Census Tract 125.11, Guilford County, North Carolina"	1644	291
1500000US370810125112	370810125112	"Block Group 2, Census Tract 125.11, Guilford County, North Carolina"	1531	302
1500000US370810125113	370810125113	"Block Group 3, Census Tract 125.11, Guilford County, North Carolina"	1332	269
1500000US370810125114	370810125114	"Block Group 4, Census Tract 125.11, Guilford County, North Carolina"	519	149
1500000US370810126011	370810126011	"Block Group 1, Census Tract 126.01, Guilford County, North Carolina"	1490	344
1500000US370810126012	370810126012	"Block Group 2, Census Tract 126.01, Guilford County, North Carolina"	2174	454
1500000US370810126013	370810126013	"Block Group 3, Census Tract 126.01, Guilford County, North Carolina"	770	296
1500000US370810126014	370810126014	"Block Group 4, Census Tract 126.01, Guilford County, North Carolina"	1584	470
1500000US370810126041	370810126041	"Block Group 1, Census Tract 126.04, Guilford County, North Carolina"	1244	374
1500000US370810126042	370810126042	"Block Group 2, Census Tract 126.04, Guilford County, North Carolina"	1038	278
1500000US370810126043	370810126043	"Block Group 3, Census Tract 126.04, Guilford County, North Carolina"	1963	487
1500000US370810126044	370810126044	"Block Group 4, Census Tract 126.04, Guilford County, North Carolina"	801	388
1500000US370810126071	370810126071	"Block Group 1, Census Tract 126.07, Guilford County, North Carolina"	2330	250
