	population	collision
0	1737	411
1	2185	386
2	1407	234
3	882	279
4	1016	306
5	845	87
6	672	290
7	1234	209
8	1028	136
9	951	536
10	643	221
11	1113	414
12	777	468
13	911	719
14	2459	169
15	1403	130
16	1997	395
17	854	128
18	953	167
19	523	451
20	829	326
21	1453	408
22	2018	116
23	1722	92
24	1498	199
25	1523	43
26	1597	95
27	664	537
28	2440	1047
29	1504	58
30	1644	79
31	1490	534
32	1244	359
33	2330	454
34	2794	664
35	2755	827
36	1403	641
37	2255	316
38	2846	574
39	2418	157
40	1722	121
41	685	97
42	1453	169
43	1976	177
44	862	359
45	2741	234
46	2176	1213
47	2777	928
48	1478	0
49	1401	0
50	1066	0
51	1092	0
52	636	0
53	1201	0
54	781	0
55	611	0
56	2392	0
57	2465	0
58	2391	0
59	1240	0
60	1228	0
61	1847	0
62	1320	0
63	710	0
64	2860	0
65	2384	0
66	1519	0
67	1243	0
68	3132	0
69	4522	147
70	797	62
71	5455	204
72	5375	4
73	1434	40
74	3805	183
75	535	232
76	4192	98
77	2761	29
78	4272	6
79	3389	0
80	3922	0
81	2971	30
82	1867	127
83	1862	167
84	2187	281
85	2818	188
86	2061	143
87	1472	28
88	1982	842
89	2760	146
90	1658	158
91	2235	111
92	3826	0
93	4429	204
94	3798	300
95	4061	0
96	2058	0
97	3668	0
98	1301	0
99	4996	0
100	1871	782
101	3898	19
102	2130	0
103	1956	1
104	2628	5
105	1933	1
106	1235	107
107	2823	1573
108	2451	22
109	928	41
110	2512	1
111	2866	170
112	1986	0
113	968	73
114	2084	0
115	1754	0
116	2220	98
117	3271	419
118	0	0
119	1444	362
120	1412	1440
121	675	429
122	684	238
123	590	59
124	961	268
125	1403	561
126	1617	365
127	1062	329
128	1594	232
129	1926	1447
130	960	302
131	596	300
132	1762	385
133	1222	626
134	763	276
135	942	534
136	847	99
137	1010	114
138	1083	138
139	1229	381
140	2695	208
141	945	100
142	2922	143
143	1880	250
144	1073	66
145	1136	120
146	1601	351
147	1531	25
148	2174	785
149	1038	201
150	2506	367
151	2075	96
152	1694	328
153	1218	201
154	1011	267
155	1086	337
156	1742	171
157	1923	70
158	1891	92
159	1943	240
160	5804	393
161	2176	259
162	966	0
163	660	0
164	605	0
165	849	0
166	979	0
167	2501	0
168	943	0
169	783	0
170	2311	0
171	1488	0
172	1242	0
173	1771	0
174	1535	0
175	716	0
176	2045	0
177	1316	0
178	2296	15
179	2309	0
180	2044	14
181	1482	0
182	1659	12
183	1714	223
184	3956	0
185	2617	338
186	2536	170
187	1815	175
188	1586	132
189	1305	68
190	1242	1
191	1991	0
192	1668	22
193	2603	129
194	1788	199
195	3400	58
196	1758	74
197	1278	58
198	928	229
199	2158	418
200	1443	75
201	1755	229
202	2362	622
203	1174	0
204	1997	0
205	2755	4
206	4409	0
207	1913	64
208	2220	119
209	3415	81
210	2446	61
211	1515	64
212	1375	0
213	2983	531
214	2043	0
215	2734	0
216	2933	0
217	1714	12
218	1110	294
219	1079	32
220	656	144
221	704	246
222	3001	120
223	3568	305
224	2190	98
225	465	85
226	1535	321
227	843	88
228	491	292
229	832	128
230	1709	91
231	1973	219
232	562	455
233	1332	74
234	770	705
235	1963	158
236	2324	139
237	2592	220
238	1769	220
239	1252	168
240	832	0
241	683	0
242	770	0
243	695	0
244	1109	0
245	1141	0
246	1347	0
247	1340	0
248	1810	0
249	4938	1
250	3600	204
251	2353	567
252	912	6
253	2043	179
254	895	363
255	2377	66
256	2839	24
257	1049	94
258	1022	14
259	1950	343
260	1368	376
261	1319	49
262	1888	56
263	1325	22
264	1456	2
265	1046	0
266	1673	0
267	2355	2
268	963	195
269	978	88
270	910	196
271	521	59
272	1122	533
273	519	37
274	1584	417
275	801	632
276	757	77
277	908	0
278	690	0
279	478	0
280	2282	0
281	1211	0
282	580	0
283	707	0
284	3851	113
285	1313	244
286	715	15
287	2259	2
288	645	107
289	820	0
290	1625	0
291	839	79
