population	collision
1737	411
2185	386
1407	234
882	279
1016	306
845	87
672	290
1234	209
1028	136
951	536
643	221
1113	414
777	468
911	719
2459	169
1403	130
1997	395
854	128
953	167
523	451
829	326
1453	408
2018	116
1722	92
1498	199
1523	43
1597	95
664	537
2440	1047
1504	58
1644	79
1490	534
1244	359
2330	454
2794	664
2755	827
1403	641
2255	316
2846	574
2418	157
1722	121
685	97
1453	169
1976	177
862	359
2741	234
2176	1213
2777	928
1478	0
1401	0
1066	0
1092	0
636	0
1201	0
781	0
611	0
2392	0
2465	0
2391	0
1240	0
1228	0
1847	0
1320	0
710	0
2860	0
2384	0
1519	0
1243	0
3132	0
4522	147
797	62
5455	204
5375	4
1434	40
3805	183
535	232
4192	98
2761	29
4272	6
3389	0
3922	0
2971	30
1867	127
1862	167
2187	281
2818	188
2061	143
1472	28
1982	842
2760	146
1658	158
2235	111
3826	0
4429	204
3798	300
4061	0
2058	0
3668	0
1301	0
4996	0
1871	782
3898	19
2130	0
1956	1
2628	5
1933	1
1235	107
2823	1573
2451	22
928	41
2512	1
2866	170
1986	0
968	73
2084	0
1754	0
2220	98
3271	419
0	0
1444	362
1412	1440
675	429
684	238
590	59
961	268
1403	561
1617	365
1062	329
1594	232
1926	1447
960	302
596	300
1762	385
1222	626
763	276
942	534
847	99
1010	114
1083	138
1229	381
2695	208
945	100
2922	143
1880	250
1073	66
1136	120
1601	351
1531	25
2174	785
1038	201
2506	367
2075	96
1694	328
1218	201
1011	267
1086	337
1742	171
1923	70
1891	92
1943	240
5804	393
2176	259
966	0
660	0
605	0
849	0
979	0
2501	0
943	0
783	0
2311	0
1488	0
1242	0
1771	0
1535	0
716	0
2045	0
1316	0
2296	15
2309	0
2044	14
1482	0
1659	12
1714	223
3956	0
2617	338
2536	170
1815	175
1586	132
1305	68
1242	1
1991	0
1668	22
2603	129
1788	199
3400	58
1758	74
1278	58
928	229
2158	418
1443	75
1755	229
2362	622
1174	0
1997	0
2755	4
4409	0
1913	64
2220	119
3415	81
2446	61
1515	64
1375	0
2983	531
2043	0
2734	0
2933	0
1714	12
1110	294
1079	32
656	144
704	246
3001	120
3568	305
2190	98
465	85
1535	321
843	88
491	292
832	128
1709	91
1973	219
562	455
1332	74
770	705
1963	158
2324	139
2592	220
1769	220
1252	168
832	0
683	0
770	0
695	0
1109	0
1141	0
1347	0
1340	0
1810	0
4938	1
3600	204
2353	567
912	6
2043	179
895	363
2377	66
2839	24
1049	94
1022	14
1950	343
1368	376
1319	49
1888	56
1325	22
1456	2
1046	0
1673	0
2355	2
963	195
978	88
910	196
521	59
1122	533
519	37
1584	417
801	632
757	77
908	0
690	0
478	0
2282	0
1211	0
580	0
707	0
3851	113
1313	244
715	15
2259	2
645	107
820	0
1625	0
839	79
